item1,item2,item3
"totalpop_90","totalpop_00","totalpop_10"
"households_90","households_00","households_10"
"medianvalue_90","medianvalue_00","medianvalue_10"
"pctrent_300_600_90","pctrent_300_600_00","pctrent_300_600_10"
"pctrent_600_750_90","pctrent_600_800_00","pctrent_600_800_10"
"pctrent_750_1000_90","pctrent_800_1000_00","pctrent_800_1000_10"
"pctrent_1000_more_90","pctrent_1000_1250_00","pctrent_1000_1250_10"
"pctrent_1000_more_90","pctrent_1250_1500_00","pctrent_1250_1500_10"
"pctrent_1000_more_90","pctrent_1500_2000_00","pctrent_1500_2000_10"
"pctrent_1000_more_90","pctrent_2000_more_00","pctrent_2000_more_10"
"medianrent_00","medianrent_90","medianrent_10"
"pctpoverty_00","pctpoverty_90","pctpoverty_10"
"pcthhchild_00","pcthhchild_90","pcthhchild_10"
"pctcollege_00","pctcollege_90","pctcollege_10"
"units_90","units_00","units_10"
"pctrent_90","pctrent_00","pctrent_10"
"pctown_90","pctown_00","pctown_10"
"pctvacant_90","pctvacant_00","pctvacant_10"
"medianpctincomerent_90","medianpctincomerent_00","medianpctincomerent_10"
"pctincomerent_30_more_90","pctincomerent_30_more_00","pctincomerent_30_more_10"
"pctinc_mortgage_30_more_90","pctinc_mortgage_30_more_00","pctinc_mortgage_30_more_10"
"pctunits_newres_90","pctunits_newres_00","pctunits_newres_00"
"pctsameres_90","pctsameres_00","pctsameres_10"
"pctinc_100k_more_90","pctinc_100k_more_00","pctinc_100k_more_10"
"medianhhincome_90","medianhhincome_00","medianhhincome_10"
